Model,Test Case,# of Waypoints,Error distance (Source),Time to destination (Source),Balancing (Source),Distance to the car Source,Source exec time
purePursuitUSCity,331,61,1.190514735,42.09,0.228804588,31.6227766,12.4770115
purePursuitUSCity,332,41,0.927808041,24.38,0.06825084,31.6227766,9.4363262
purePursuitUSCity,333,11,0.000123359,1.14,1.08555E-15,31.6227766,5.522911
purePursuitUSCity,334,81,3.629909045,94.07,2.555930976,31.6227766,21.7179803
purePursuitUSCity,335,82,1.348510379,99999,1.126993201,31.6227766,22.3440265
purePursuitUSCity,336,61,5.565836131,48.41,0.91942603,31.6227766,13.6309752
purePursuitUSCity,337,61,12.17169386,49.5,1.512111905,31.6227766,10.865832
purePursuitUSCity,338,41,4.039875779,37.4,1.765185162,31.6227766,11.7189528
purePursuitUSCity,339,41,3.430278037,33.62,0.5184609,31.6227766,8.1032892
purePursuitUSCity,340,51,20.83335635,36.1,0.359379967,31.6227766,11.339515
purePursuitUSCity,341,31,2.937849825,49.22,0.82595998,31.6227766,13.6637161
purePursuitUSCity,342,21,8.936533328,24.25,0.869482482,31.6227766,9.5065153
purePursuitUSCity,343,41,1.039452566,29.31,1.125258877,31.6227766,10.3493507
purePursuitUSCity,344,71,5.342471091,68.92,1.146784215,31.6227766,16.9935498
purePursuitUSCity,345,51,0.991618403,31.68,0.185685002,31.6227766,10.660884
purePursuitUSCity,346,41,1.323669909,38.62,0.554257499,31.6227766,11.8333441
purePursuitUSCity,347,101,22.59956153,74.92,1.884870602,31.6227766,18.0559301
purePursuitUSCity,348,61,1.301920133,60.9,0.769408726,31.6227766,15.4682163
purePursuitUSCity,349,61,2.496158782,87.52,0.686609472,31.6227766,17.0968925
purePursuitUSCity,350,61,20.88965465,64.74,1.289461266,31.6227766,13.3180465
purePursuitUSCity,351,71,1.503637003,99999,1.882864592,31.6227766,22.5043103
purePursuitUSCity,352,92,2.06011406,44.54,1.032624335,31.6227766,13.0335684
purePursuitUSCity,353,71,1.274356254,97.57,1.129496831,31.6227766,21.6504164
purePursuitUSCity,354,21,0.005424342,25.12,0.002423198,31.6227766,9.4282341
purePursuitUSCity,355,61,1.523232558,99999,1.433560762,31.6227766,21.9490635
purePursuitUSCity,356,61,4.084712225,97.92,1.601963231,31.6227766,19.0226017
purePursuitUSCity,357,51,2.189266211,44.16,1.576659451,31.6227766,12.9087122
purePursuitUSCity,358,11,6.23811E-05,0.35,0,31.6227766,5.4169664
purePursuitUSCity,359,21,0.005528782,37.78,2.28478E-05,31.6227766,11.6833192
purePursuitUSCity,360,41,4.716237956,59.51,1.228346974,31.6227766,15.5063241
purePursuitUSCity,361,41,2.650549036,32.8,0.152674788,31.6227766,7.9355216
purePursuitUSCity,362,21,2.181377299,25.35,0.367174739,31.6227766,9.5549137
purePursuitUSCity,363,21,0.004512657,32.14,0.002455207,31.6227766,7.7017464
purePursuitUSCity,364,51,0.371578119,49.97,0.123091856,31.6227766,13.5385486
purePursuitUSCity,365,41,0.082761962,13.75,0.030525133,31.6227766,7.730306
purePursuitUSCity,366,71,4.782921098,64.48,1.738272781,31.6227766,16.1119285
purePursuitUSCity,367,61,1.544236468,36.99,0.635836515,31.6227766,11.5070944
purePursuitUSCity,368,31,4.229015928,21.48,0.944333872,31.6227766,8.9695188
purePursuitUSCity,369,41,4.462134446,43.62,0.723709233,31.6227766,12.6921978
purePursuitUSCity,370,61,1.924468166,29.18,0.769431165,31.6227766,10.2733864
purePursuitUSCity,371,52,5.419180566,49.94,1.78621696,31.6227766,13.839067
purePursuitUSCity,372,11,0.004538207,11.32,3.83848E-10,31.6227766,7.1242913
purePursuitUSCity,373,51,3.804123737,27.88,0.959352214,31.6227766,10.1898232
purePursuitUSCity,374,102,6.273151001,78.16,1.44595486,31.6227766,18.7740567
purePursuitUSCity,375,32,0.101659139,10.32,0.048008095,31.6227766,7.0817773
purePursuitUSCity,376,51,1.298792438,33.6,0.625013093,31.6227766,11.081125
purePursuitUSCity,377,121,14.40119571,87.61,3.525426281,31.6227766,24.3982846
purePursuitUSCity,378,61,1.798691522,85.28,0.484266559,31.6227766,19.67973
purePursuitUSCity,379,31,17.97719056,99999,1.793566324,31.6227766,22.3290405
purePursuitUSCity,380,51,27.57547109,99999,1.703267614,31.6227766,22.6795506
purePursuitUSCity,381,62,9.617450449,81.48,3.237392637,31.6227766,19.2989828
purePursuitUSCity,382,31,2.522135426,27.32,0.646796484,31.6227766,9.9512602
purePursuitUSCity,383,72,1.004062064,30.81,0.604479071,31.6227766,10.6476546
purePursuitUSCity,384,61,1.525681889,47.25,0.783950566,31.6227766,13.3003812
purePursuitUSCity,385,41,1.805022813,45.81,0.765800162,31.6227766,13.1550716
purePursuitUSCity,386,51,1.75846367,59.61,1.215745495,31.6227766,15.551819
purePursuitUSCity,387,41,4.821444292,32.88,2.121165002,31.6227766,11.0157032
purePursuitUSCity,388,41,5.454240115,55.3,0.606645684,31.6227766,12.1726991
purePursuitUSCity,389,51,1.350897494,79.03,0.771285487,31.6227766,18.6453484
purePursuitUSCity,390,121,3.529143915,99999,2.144925143,31.6227766,22.5356407
purePursuitUSCity,391,51,20.87478395,79.75,1.1479271,31.6227766,19.0519275
purePursuitUSCity,392,71,3.162377133,63.05,1.450253599,31.6227766,16.2086184
purePursuitUSCity,393,81,3.170923479,36.88,0.979083059,31.6227766,11.7575248
purePursuitUSCity,394,51,1.109799464,49.35,0.754223181,31.6227766,13.7981932
purePursuitUSCity,395,11,0.000816195,3.59,1.45074E-12,31.6227766,5.9578648
purePursuitUSCity,396,51,3.544419984,52.42,0.706466323,31.6227766,14.3301615
purePursuitUSCity,397,31,0.023040528,44.58,0,31.6227766,12.8965706
purePursuitUSCity,398,71,24.20232867,39.14,1.199659829,31.6227766,12.0846223
purePursuitUSCity,399,101,1.321862937,66.17,0.961110224,31.6227766,16.7480443
purePursuitUSCity,400,92,2.245332025,58.61,0.770508796,31.6227766,15.3591912
purePursuitUSCity,401,72,5.179494052,90.3,1.893174744,31.6227766,20.6348611
purePursuitUSCity,402,31,0.907382469,23.8,0.368036854,31.6227766,9.3344398
purePursuitUSCity,403,31,3.616345795,24.38,0.378987298,31.6227766,6.3889823
purePursuitUSCity,404,81,0.964952341,75.17,0.943162287,31.6227766,17.8584554
purePursuitUSCity,405,51,16.86244295,77.91,2.694093786,31.6227766,18.4810601
purePursuitUSCity,406,52,1.280141896,32.41,0.499556425,31.6227766,10.856678
purePursuitUSCity,407,41,0.995240689,30.37,0.378586181,31.6227766,10.4902423
purePursuitUSCity,408,102,6.414780501,99999,1.421556088,31.6227766,22.4368515
purePursuitUSCity,409,61,3.632555265,54.27,1.167716238,31.6227766,14.5238341
purePursuitUSCity,410,31,0.004615007,22.54,8.75211E-17,31.6227766,9.0617904
purePursuitUSCity,411,51,1.919895079,39.11,0.431518722,31.6227766,11.9837374
purePursuitUSCity,412,91,2.616051628,45.24,2.023670582,31.6227766,13.041782
purePursuitUSCity,413,51,22.63128324,50.21,1.189137513,31.6227766,13.9012873
purePursuitUSCity,414,51,5.214185534,59.19,1.766618172,31.6227766,12.4021755
purePursuitUSCity,415,91,3.470733885,39.35,0.867312973,31.6227766,12.1380099
purePursuitUSCity,416,11,0.005525009,16.8,0,31.6227766,8.0798891
purePursuitUSCity,417,81,3.964377187,94.01,3.108172514,31.6227766,21.5959084
purePursuitUSCity,418,71,20.86329086,78.28,1.656334645,31.6227766,18.6014748
purePursuitUSCity,419,41,5.682370541,58.48,0.94067719,31.6227766,15.3321919
purePursuitUSCity,420,91,23.309999,99999,3.068995152,31.6227766,22.3160805
purePursuitUSCity,421,51,0.806700373,33.92,0.112489828,31.6227766,11.0296215
purePursuitUSCity,422,31,1.80211109,15.05,0.537221636,31.6227766,7.9181918
purePursuitUSCity,423,21,0.00461557,24.1,1.6467E-16,31.6227766,9.3488769
purePursuitUSCity,424,51,2.453406766,26.82,0.529295719,31.6227766,9.9579
purePursuitUSCity,425,41,0.250270756,6.01,0.060969851,31.6227766,6.4499313
purePursuitUSCity,426,41,0.023101054,47.56,0,31.6227766,10.0737506
purePursuitUSCity,427,51,22.60147455,64.83,0.718716008,31.6227766,16.1021373
purePursuitUSCity,428,61,2.0066739,44.29,1.197343748,31.6227766,12.9229721
purePursuitUSCity,429,81,6.386063739,63.66,3.375048169,31.6227766,16.3971006
purePursuitUSCity,430,71,3.840553257,59.16,2.101412149,31.6227766,15.4349391
purePursuitUSCity,431,21,4.315285145,25.93,0.861931553,31.6227766,9.7544611
purePursuitUSCity,432,51,2.593404868,41.87,0.882579614,31.6227766,12.3210648
purePursuitUSCity,433,51,5.577948756,56.16,1.250929391,31.6227766,11.8234866
purePursuitUSCity,434,21,11.65781154,15.21,1.363786588,31.6227766,7.9864739
purePursuitUSCity,435,71,9.317835869,76.91,2.192679462,31.6227766,18.4157284
purePursuitUSCity,436,102,1.252813745,66.65,1.60163639,31.6227766,16.8960499
purePursuitUSCity,437,31,0.97601241,33.37,0.74694054,31.6227766,10.9344267
purePursuitUSCity,438,21,1.30148329,29.34,0.472986435,31.6227766,10.2660279
purePursuitUSCity,439,51,0.489091017,46.8,0.10960312,31.6227766,12.8828582
purePursuitUSCity,440,31,2.104721187,28.99,0.587933818,31.6227766,10.2753085
purePursuitUSCity,441,31,1.481954661,19.17,0.422085718,31.6227766,5.7071704
purePursuitUSCity,442,41,2.366574964,31.79,0.642583884,31.6227766,10.7310024
purePursuitUSCity,443,31,0.133587505,5.19,0.042253545,31.6227766,6.2649228
purePursuitUSCity,444,41,1.423687963,50.94,1.352532493,31.6227766,13.9600756
purePursuitUSCity,445,71,2.178881034,64.07,1.103657782,31.6227766,16.2918686
purePursuitUSCity,446,71,3.775397311,50.04,1.220395472,31.6227766,11.0722679
purePursuitUSCity,447,42,1.59186039,58.3,0.823695666,31.6227766,15.2085271
purePursuitUSCity,448,41,3.480645616,34.85,0.77590836,31.6227766,11.2452314
purePursuitUSCity,449,31,24.27624524,14.76,0.183768356,31.6227766,7.8904589
purePursuitUSCity,450,41,3.431653698,29,0.372893857,31.6227766,10.2715529
purePursuitUSCity,451,71,2.004717301,39.34,1.046935739,31.6227766,12.0504974
purePursuitUSCity,452,11,0.002018116,10.55,6.03718E-09,31.6227766,7.0573842
purePursuitUSCity,453,101,6.125471706,75.43,1.916631478,31.6227766,18.1313632
purePursuitUSCity,454,91,1.921204101,64.99,1.269889759,31.6227766,16.5821226
purePursuitUSCity,455,41,1.512294446,47.2,1.476277135,31.6227766,13.4189371
purePursuitUSCity,456,71,3.574420435,49.39,1.008580185,31.6227766,13.5749369
purePursuitUSCity,457,21,0.309818673,29.11,0.11300956,31.6227766,10.198586
purePursuitUSCity,458,61,1.896443415,55.38,1.179658468,31.6227766,14.5454671
purePursuitUSCity,459,41,5.46527233,30.64,0.984426311,31.6227766,10.6021881
purePursuitUSCity,460,31,2.033828646,14.06,0.512956271,31.6227766,7.7185021
purePursuitUSCity,461,41,23.31019272,46.84,1.100374357,31.6227766,13.3261549
purePursuitUSCity,462,82,3.876676268,53.93,1.325526296,31.6227766,14.7474095
purePursuitUSCity,463,31,2.091620479,54.04,0.741354531,31.6227766,14.5323607
purePursuitUSCity,464,61,0.084201674,40.32,0.067599564,31.6227766,12.0689472
purePursuitUSCity,465,92,1.194248711,78.26,1.684895845,31.6227766,18.6704922
purePursuitUSCity,466,51,2.680047842,40.3,0.909474574,31.6227766,12.2927706
purePursuitUSCity,467,41,1.110172852,29.99,0.834065886,31.6227766,10.3862348
purePursuitUSCity,468,41,1.42206861,32.47,0.207804776,31.6227766,7.8614367
purePursuitUSCity,469,52,0.094788774,9.3,0.073161316,31.6227766,6.9583555
purePursuitUSCity,470,62,3.610463367,43.36,0.90972695,31.6227766,12.7105274
purePursuitUSCity,471,32,3.859336441,26.32,0.680433888,31.6227766,9.6086049
purePursuitUSCity,472,41,1.936745407,35.27,1.106284476,31.6227766,11.269685
purePursuitUSCity,473,51,20.85887174,53.81,2.374466536,31.6227766,14.2901851
purePursuitUSCity,474,51,7.045974793,49.74,1.524101814,31.6227766,10.7776773
purePursuitUSCity,475,91,22.6023646,81.21,1.436228951,31.6227766,19.0193859
purePursuitUSCity,476,51,1.558029134,65.43,0.701546172,31.6227766,16.3201208
purePursuitUSCity,477,22,0.283397504,5.81,0.07111995,31.6227766,6.3578642
purePursuitUSCity,478,71,23.3124699,99999,2.06360272,31.6227766,22.3630114
purePursuitUSCity,479,41,1.456357869,41.05,0.505251673,31.6227766,12.1248033
purePursuitUSCity,480,82,26.24110702,99999,2.030670859,31.6227766,22.358244
purePursuitUSCity,481,51,1.934266282,43.08,1.415252499,31.6227766,12.6835272
purePursuitUSCity,482,71,2.266406268,37.69,1.415566094,31.6227766,11.8454014
purePursuitUSCity,483,21,7.869722403,17.28,1.169265837,31.6227766,8.2517184
purePursuitUSCity,484,82,7.464351767,43.54,2.905411856,31.6227766,12.9410592
purePursuitUSCity,485,11,0.002011626,5.34,0,31.6227766,6.2131772
purePursuitUSCity,486,21,0.005397452,26.72,0.003897318,31.6227766,9.7242719
purePursuitUSCity,487,81,3.27348403,47.03,1.410081842,31.6227766,13.4248557
purePursuitUSCity,488,41,4.92310566,41.94,1.091794249,31.6227766,12.4657138
purePursuitUSCity,489,71,5.541662892,99999,1.749243052,31.6227766,22.3209536
purePursuitUSCity,490,51,5.102284333,52.83,0.642110611,31.6227766,14.458094
purePursuitUSCity,491,41,1.056039091,31.6,0.772288827,31.6227766,10.6816841
purePursuitUSCity,492,72,3.847886791,69.92,1.620609175,31.6227766,17.3700797
purePursuitUSCity,493,31,3.53205236,28.02,0.918846829,31.6227766,10.1940201
purePursuitUSCity,494,51,24.50485583,73.41,1.012544921,31.6227766,17.685606
purePursuitUSCity,495,31,1.514070812,23.02,0.693444447,31.6227766,9.2721764
purePursuitUSCity,496,41,6.190132988,36.17,1.768221946,31.6227766,11.5408523
purePursuitUSCity,497,41,1.85414528,40.55,0.921656312,31.6227766,9.3961565
purePursuitUSCity,498,41,3.777646746,18.05,0.475214706,31.6227766,5.5322358
purePursuitUSCity,499,31,8.468780091,63.83,1.552714654,31.6227766,16.3058376
purePursuitUSCity,500,41,0.22923793,8.15,0.056923566,31.6227766,7.0428904
purePursuitUSCity,501,71,1.674717074,65.52,1.160913973,31.6227766,16.546199
purePursuitUSCity,502,61,1.835501748,40.85,0.772860527,31.6227766,12.726648
purePursuitUSCity,503,31,3.460195662,27.13,0.773053845,31.6227766,9.9132754
purePursuitUSCity,504,121,3.268064339,99999,2.385128283,31.6227766,22.5304202
purePursuitUSCity,505,91,5.076236682,57.62,1.406022029,31.6227766,15.1992317
purePursuitUSCity,506,31,0.006533689,27.74,4.60467E-05,31.6227766,10.0153393
purePursuitUSCity,507,61,1.943479194,80.74,1.174163908,31.6227766,18.9298462
purePursuitUSCity,508,51,4.069810865,33.34,1.138101018,31.6227766,11.1023768
purePursuitUSCity,509,51,0.528683046,48.29,0.123188696,31.6227766,10.6706115
purePursuitUSCity,510,71,23.31010607,85.25,1.430999612,31.6227766,19.5981625
purePursuitUSCity,511,42,0.424005191,24.3,0.212639841,31.6227766,9.4257604
purePursuitUSCity,512,71,2.544660237,49.69,1.207135159,31.6227766,13.7120054
purePursuitUSCity,513,41,3.776296451,37.74,0.095212925,31.6227766,11.5138169
purePursuitUSCity,514,111,17.94077082,44.32,1.991456281,31.6227766,13.1533848
purePursuitUSCity,515,51,3.722602772,29.44,0.461660127,31.6227766,10.4223521
purePursuitUSCity,516,51,13.68337721,37.76,1.808775552,31.6227766,8.9248181
purePursuitUSCity,517,81,3.747631171,64.16,1.832550622,31.6227766,16.3236435
purePursuitUSCity,518,21,2.522061637,22.42,0.922290824,31.6227766,9.0867935
purePursuitUSCity,519,11,0.023112992,14.87,9.24745E-14,31.6227766,7.7062202
purePursuitUSCity,520,21,0.993660033,24.12,0.453206445,31.6227766,9.3936443
purePursuitUSCity,521,41,0.440783535,46.47,0.150040851,31.6227766,13.1569707
purePursuitUSCity,522,61,4.344401641,33.85,2.117237403,31.6227766,11.130815
purePursuitUSCity,523,62,2.726784528,33.92,1.110126933,31.6227766,11.0453878
purePursuitUSCity,524,111,2.714701267,69.92,2.93246778,31.6227766,17.4415162
purePursuitUSCity,525,41,1.991962036,20.37,0.377910335,31.6227766,9.1332915
purePursuitUSCity,526,51,2.097715427,55.65,0.764427795,31.6227766,14.77001
purePursuitUSCity,527,61,6.351779999,64.91,1.352107249,31.6227766,16.4015569
purePursuitUSCity,528,71,7.255432484,50.19,2.186916434,31.6227766,13.9074608
purePursuitUSCity,529,61,1.170290154,65.8,0.550528016,31.6227766,16.4110266
purePursuitUSCity,530,61,3.735281319,84.3,2.226797519,31.6227766,16.6848617
purePursuitUSCity,531,91,22.57746246,91.89,2.158546196,31.6227766,20.9739401
purePursuitUSCity,532,31,1.837862962,52.47,0.414053292,31.6227766,13.9988579
purePursuitUSCity,533,52,54.36547064,87.97,1.405635964,31.6227766,20.4509169
purePursuitUSCity,534,82,3.217242976,63.7,1.669639247,31.6227766,16.3136794
purePursuitUSCity,535,51,0.559983322,39.83,0.1302072,31.6227766,12.0732742
purePursuitUSCity,536,41,0.016810262,51.79,0.006248775,31.6227766,14.0254197
purePursuitUSCity,537,72,0.605019388,40.82,1.216049305,31.6227766,12.3858268
purePursuitUSCity,538,71,24.51109241,62.8,3.197949965,31.6227766,16.0955708
purePursuitUSCity,539,51,12.56172841,74.06,1.79794,31.6227766,17.8287048
purePursuitUSCity,540,41,22.6462819,37.39,1.25058138,31.6227766,11.7306447
purePursuitUSCity,541,51,5.832574185,64.68,1.313996747,31.6227766,16.3930627
purePursuitUSCity,542,41,1.143462682,34.99,0.452713622,31.6227766,11.171156
purePursuitUSCity,543,51,2.210573119,37.55,0.706458645,31.6227766,11.810125
purePursuitUSCity,544,71,4.303028889,78.27,1.502014556,31.6227766,18.741232
purePursuitUSCity,545,51,1.520113167,43.61,0.51155223,31.6227766,12.8102119
purePursuitUSCity,546,31,7.288807779,49.72,1.322459208,31.6227766,13.6537362
purePursuitUSCity,547,42,5.036546774,43.79,1.297788503,31.6227766,12.8476627
purePursuitUSCity,548,61,4.859734756,56.94,1.590034552,31.6227766,14.9829259
purePursuitUSCity,549,31,0.023094076,27.24,5.43261E-17,31.6227766,9.8703775
purePursuitUSCity,550,21,0.811540798,33.6,0.097926218,31.6227766,10.8994035
purePursuitUSCity,551,11,0.006668193,19.23,0.000878836,31.6227766,8.6034996
purePursuitUSCity,552,71,3.779910167,70.35,1.618832893,31.6227766,17.3817077
purePursuitUSCity,553,71,2.728153496,87.68,1.477976688,31.6227766,17.1637479
purePursuitUSCity,554,31,4.382965905,31.96,0.840883406,31.6227766,10.621468
purePursuitUSCity,555,72,20.87601306,96.15,2.502595525,31.6227766,21.556023
purePursuitUSCity,556,91,4.561498202,84.23,3.383807512,31.6227766,19.8629558
purePursuitUSCity,557,41,22.6589994,52.75,0.547734401,31.6227766,14.2223098
purePursuitUSCity,558,101,3.497471714,60.98,1.823502777,31.6227766,15.9266335
purePursuitUSCity,559,41,24.20741536,25.07,1.144492382,31.6227766,9.575961
purePursuitUSCity,560,31,0.081967664,22.53,0.060729296,31.6227766,9.0867194
purePursuitUSCity,561,61,3.754896021,57.12,1.939591711,31.6227766,15.0367044
purePursuitUSCity,562,61,1.394623574,38.3,1.192095642,31.6227766,8.993994
purePursuitUSCity,563,41,22.64351699,55,0.83688093,31.6227766,14.626622
purePursuitUSCity,564,72,1.27344636,36.35,0.670431221,31.6227766,11.4776783
purePursuitUSCity,565,41,5.530222677,36.3,0.971772615,31.6227766,11.3786815
purePursuitUSCity,566,41,5.431760805,39.4,0.664849651,31.6227766,9.0559909
purePursuitUSCity,567,51,0.18732799,8.82,0.094207445,31.6227766,6.8827983
purePursuitUSCity,568,61,1.37614635,60.64,0.979582793,31.6227766,15.5184426
purePursuitUSCity,569,31,0.696686298,33.17,0.426570332,31.6227766,10.7644984
purePursuitUSCity,570,21,0.673531591,18.98,0.084799538,31.6227766,8.5057172
purePursuitUSCity,571,51,3.630946878,43.46,1.920106409,31.6227766,12.6829834
purePursuitUSCity,572,71,4.933938673,89.11,2.253971891,31.6227766,20.4319176
purePursuitUSCity,573,21,0.023107124,17.86,1.95214E-16,31.6227766,8.7145936
purePursuitUSCity,574,41,0.838118408,45.58,0.141567025,31.6227766,12.8996575
purePursuitUSCity,575,51,1.338113336,58.22,1.419521932,31.6227766,15.3193142
purePursuitUSCity,576,71,1.744555771,51.99,0.622157758,31.6227766,14.2110942
purePursuitUSCity,577,51,0.02303901,55.03,6.0177E-12,31.6227766,14.4424994
purePursuitUSCity,578,21,2.144558081,5.32,0.578504561,31.6227766,6.3112148
purePursuitUSCity,579,91,4.943120049,96.78,2.095543097,31.6227766,21.9771856
purePursuitUSCity,580,41,0.432214934,56.18,0.138001321,31.6227766,14.5049083
purePursuitUSCity,581,31,2.224097679,27.57,1.547535147,31.6227766,10.0624819
purePursuitUSCity,582,41,1.509003875,34.07,0.541405483,31.6227766,11.08299
purePursuitUSCity,583,42,5.923680849,21.82,0.651929164,31.6227766,9.0748807
purePursuitUSCity,584,61,4.251851735,78.55,2.151556308,31.6227766,18.6391736
purePursuitUSCity,585,32,1.943914897,28.44,1.454913659,31.6227766,10.1697921
purePursuitUSCity,586,22,1.959015052,14.02,0.608951397,31.6227766,7.7212479
purePursuitUSCity,587,51,6.62863001,52.8,1.413260037,31.6227766,14.268625
purePursuitUSCity,588,11,0.002809519,13.06,0,31.6227766,7.3345003
purePursuitUSCity,589,31,22.0871228,14.99,0.630382688,31.6227766,7.9171716
purePursuitUSCity,590,61,3.70767599,46.58,1.683258207,31.6227766,13.1572212
purePursuitUSCity,591,81,5.939542723,99999,1.212489201,31.6227766,22.5359172
purePursuitUSCity,592,11,0.002061515,7.29,3.46183E-11,31.6227766,6.5082365
purePursuitUSCity,593,22,1.084055051,5.61,0.131652929,31.6227766,6.35236
purePursuitUSCity,594,61,2.210338528,45.66,1.430033954,31.6227766,13.1928084
purePursuitUSCity,595,21,1.010774832,6.31,0.402440114,31.6227766,6.4599532
purePursuitUSCity,596,42,0.153146581,17.6,0.101712758,31.6227766,8.3149719
purePursuitUSCity,597,61,7.415574561,40.52,2.534168799,31.6227766,12.2793772
purePursuitUSCity,598,71,3.879441506,80.75,1.188311038,31.6227766,18.9918362
purePursuitUSCity,599,62,2.602154239,53.7,0.413438286,31.6227766,14.3737276
purePursuitUSCity,600,41,1.302784577,34.89,1.133749727,31.6227766,11.2906581
purePursuitUSCity,601,51,5.464121787,55.42,1.299443644,31.6227766,14.7541224
purePursuitUSCity,602,31,1.977942551,34.18,0.65890584,31.6227766,11.0763281
purePursuitUSCity,603,61,3.72165714,45.1,1.88646994,31.6227766,13.1746328
purePursuitUSCity,604,51,5.145180572,39.86,1.004620006,31.6227766,12.1412393
purePursuitUSCity,605,61,1.185169341,65.95,1.919133111,31.6227766,16.4787531
purePursuitUSCity,606,31,2.148355166,21.5,0.412526043,31.6227766,9.0300489
purePursuitUSCity,607,71,5.648370646,73.11,1.818946077,31.6227766,17.8066893
purePursuitUSCity,608,52,9.070078417,99999,1.591225782,31.6227766,22.3469129
purePursuitUSCity,609,31,1.440040549,28.99,0.375672457,31.6227766,10.220187
purePursuitUSCity,610,11,0.002017581,6.27,0,31.6227766,6.408825
purePursuitUSCity,611,51,4.554517629,48.84,1.093969092,31.6227766,13.613768
purePursuitUSCity,612,81,22.5931505,99999,1.097996754,31.6227766,22.3700496
purePursuitUSCity,613,61,5.554357831,99999,1.43379876,31.6227766,22.6564257
purePursuitUSCity,614,82,2.387380882,99999,0.767828386,31.6227766,22.4459425
purePursuitUSCity,615,81,2.295163221,99999,1.225461922,31.6227766,22.4927174
purePursuitUSCity,616,61,1.444668886,67.72,0.89492615,31.6227766,16.8601254
purePursuitUSCity,617,92,2.516689028,84.37,0.636145772,31.6227766,19.8697041
purePursuitUSCity,618,21,1.01506944,14.1,0.394169121,31.6227766,7.7316647
purePursuitUSCity,619,91,5.673891179,83.49,2.135231925,31.6227766,19.4023901
purePursuitUSCity,620,72,1.166474101,60.22,1.20589896,31.6227766,15.5073942
purePursuitUSCity,621,61,4.905412111,83.83,2.375083145,31.6227766,19.4989752
purePursuitUSCity,622,41,1.514235355,49.06,1.471372979,31.6227766,13.6644424
purePursuitUSCity,623,52,24.53884976,60.81,0.977144443,31.6227766,15.4915145
purePursuitUSCity,624,61,3.425864657,40.6,0.731911093,31.6227766,12.1813796
purePursuitUSCity,625,102,5.744500552,72.62,2.111661065,31.6227766,17.7934393
purePursuitUSCity,626,71,0.743951473,52.49,1.538681186,31.6227766,14.3147256
purePursuitUSCity,627,32,1.40767554,36.05,0.807752123,31.6227766,11.4583927
purePursuitUSCity,628,41,4.724470099,32.91,0.879616942,31.6227766,10.9536156
purePursuitUSCity,629,102,4.378389443,92.54,1.601676909,31.6227766,21.3462726
purePursuitUSCity,630,51,2.708400238,66.16,1.102797873,31.6227766,16.5554532
purePursuitUSCity,631,51,24.5190436,44.12,0.777107504,31.6227766,9.741143
purePursuitUSCity,632,81,2.93499523,38.04,0.649592417,31.6227766,11.7980826
purePursuitUSCity,633,21,0.023946572,4.62,0.01149736,31.6227766,6.1684719
purePursuitUSCity,634,51,0.273285685,6.27,0.09383504,31.6227766,6.4495544
purePursuitUSCity,635,31,20.84361533,47.21,2.992827182,31.6227766,13.3834413
purePursuitUSCity,636,71,5.08914895,99999,1.744205264,31.6227766,22.234587
purePursuitUSCity,637,61,3.003111573,57.11,1.515991939,31.6227766,15.1579833
purePursuitUSCity,638,61,24.50758992,99999,1.735313007,31.6227766,19.352479
purePursuitUSCity,639,51,2.349899041,31.51,0.827023477,31.6227766,10.7291057
purePursuitUSCity,640,52,0.215227275,23.05,0.090721554,31.6227766,9.2527523
purePursuitUSCity,641,51,2.058301648,37.73,0.406648922,31.6227766,11.7814747
purePursuitUSCity,642,111,1.110196765,93.39,1.160770319,31.6227766,21.2836822
purePursuitUSCity,643,11,0.001975564,6.75,2.03353E-06,31.6227766,6.4390034
purePursuitUSCity,644,81,22.59214517,78.91,1.134464584,31.6227766,18.8018342
purePursuitUSCity,645,51,2.398117965,43.35,2.283113001,31.6227766,12.7201665
purePursuitUSCity,646,71,5.281419516,65.37,1.874984265,31.6227766,16.5440124
purePursuitUSCity,647,101,2.009546296,63.01,1.878278627,31.6227766,16.0589491
purePursuitUSCity,648,81,3.825039229,60.71,2.068640243,31.6227766,15.9112656
purePursuitUSCity,649,31,3.751161584,31.42,0.851670583,31.6227766,10.7026066
purePursuitUSCity,650,32,0.985947107,31.45,0.903863926,31.6227766,10.6472895
purePursuitUSCity,651,71,4.112109095,99999,2.222454621,31.6227766,22.2015551
purePursuitUSCity,652,62,6.391635606,99999,1.838181349,31.6227766,22.4641524
purePursuitUSCity,653,61,5.406171558,48.66,1.266249407,31.6227766,13.5661849
purePursuitUSCity,654,72,1.208034171,66,2.079868651,31.6227766,16.8183234
purePursuitUSCity,655,81,5.356565002,71.36,1.687590106,31.6227766,17.5882631
purePursuitUSCity,656,81,2.606129313,45.57,1.211037375,31.6227766,10.2530039
purePursuitUSCity,657,82,3.763842244,56.32,1.527678317,31.6227766,15.2362444
purePursuitUSCity,658,81,6.196784962,99999,1.912170593,31.6227766,22.445704
purePursuitUSCity,659,21,0.05691464,22.03,0.010687249,31.6227766,9.0551884
purePursuitUSCity,660,52,1.686109955,40.22,0.97057274,31.6227766,12.1097326
purePursuitUSCity,661,61,2.699327913,39.45,1.159933228,31.6227766,11.8633761
purePursuitUSCity,662,51,2.167241431,64.34,0.353975181,31.6227766,15.9138638
purePursuitUSCity,663,21,0.042147184,5.1,0.016311027,31.6227766,6.2384862
