Model,Test Case,# of Waypoints,Error distance (Source),Time to destination (Source),Balancing (Source),Distance to the car Source,Source exec time
purePursuitUSCity,39,41,1.28285198,66.13,0.741122743,31.6227766,16.3618098
purePursuitUSCity,40,51,4.004351688,61.94,1.503255787,31.6227766,15.889627
purePursuitUSCity,41,31,0.05378507,6.61,0.012445085,31.6227766,6.2911093
purePursuitUSCity,42,91,22.59170448,87.56,1.416039365,31.6227766,20.2664756
purePursuitUSCity,43,21,0.030077826,3.73,0.011208829,31.6227766,5.7936671
purePursuitUSCity,44,42,0.159357887,29.55,0.079502591,31.6227766,14.5878917
purePursuitUSCity,45,31,0.99862347,38.95,0.836095406,31.6227766,11.8507329
purePursuitUSCity,46,51,5.483651435,29.07,1.341141127,31.6227766,10.2283054
purePursuitUSCity,47,61,22.8703793,94.93,2.439426481,31.6227766,21.8692108
purePursuitUSCity,48,21,2.521213442,9.22,0.098074469,31.6227766,6.7887418
purePursuitUSCity,49,21,0.004608532,35.27,3.10028E-08,31.6227766,8.3779332
purePursuitUSCity,50,31,1.236614184,31.28,0.881553193,31.6227766,10.5683071
purePursuitUSCity,51,31,0.585691702,15.18,0.153747504,31.6227766,5.0443075
purePursuitUSCity,52,42,1.633046747,48.96,0.528674283,31.6227766,13.529851
purePursuitUSCity,53,92,5.449093453,73.09,1.05328753,31.6227766,17.7549452
purePursuitUSCity,54,41,4.901898285,52.21,1.06725858,31.6227766,13.9782156
purePursuitUSCity,55,11,0.005466697,14.88,0,31.6227766,7.648532
purePursuitUSCity,56,61,2.698699449,45.62,1.916466358,31.6227766,13.0183577
purePursuitUSCity,57,52,1.789410999,30,0.903804573,31.6227766,10.2926702
purePursuitUSCity,58,51,22.69227528,55.07,2.630212622,31.6227766,14.5687845
purePursuitUSCity,59,51,1.404115417,55.6,1.085424714,31.6227766,11.707359
purePursuitUSCity,60,72,1.699530663,34.29,0.935289797,31.6227766,11.1235231
purePursuitUSCity,61,41,1.619628667,33.14,0.788571794,31.6227766,10.8540266
purePursuitUSCity,62,81,4.620823497,34.68,1.417158684,31.6227766,11.135047
purePursuitUSCity,63,41,1.466298095,50.08,0.851976603,31.6227766,13.6002642
purePursuitUSCity,64,51,1.248143806,48.93,0.560184649,31.6227766,13.4644352
purePursuitUSCity,65,31,1.318786441,41.95,0.385815077,31.6227766,12.1626449
purePursuitUSCity,66,62,2.869678939,59.2,1.449284131,31.6227766,19.5287823
purePursuitUSCity,67,41,4.076086556,40.39,0.719375022,31.6227766,12.1575449
purePursuitUSCity,68,31,1.963762235,41.49,0.401591119,31.6227766,12.1612778
purePursuitUSCity,69,11,0.001596443,6.2,1.49912E-13,31.6227766,6.1913544
purePursuitUSCity,70,71,2.035004885,99999,1.444311093,31.6227766,22.5109138
purePursuitUSCity,71,51,3.143583935,56.48,0.66021277,31.6227766,14.8136083
purePursuitUSCity,72,101,8.537969411,99999,3.096710842,31.6227766,26.4398644
purePursuitUSCity,73,51,2.300776249,63.39,1.119133249,31.6227766,16.1151023
purePursuitUSCity,74,31,1.892937526,20.24,0.796793767,31.6227766,8.7267508
purePursuitUSCity,75,41,2.023658538,26.87,0.727362552,31.6227766,9.7891615
purePursuitUSCity,76,31,1.260160781,38.84,0.349781445,31.6227766,11.731708
purePursuitUSCity,77,61,0.839493775,68.15,2.088792895,31.6227766,16.8071332
purePursuitUSCity,78,61,6.661813382,51.85,3.478063887,31.6227766,11.4141197
purePursuitUSCity,79,42,2.004363315,55.89,0.411758889,31.6227766,14.7094354
purePursuitUSCity,80,81,1.306521572,38.73,0.811382823,31.6227766,11.8016233
purePursuitUSCity,81,51,1.150192811,44.24,0.736227364,31.6227766,12.6708455
purePursuitUSCity,82,31,4.292224213,43.3,0.542056864,31.6227766,12.4869576
purePursuitUSCity,83,21,22.63641743,34.84,0.393153651,31.6227766,11.0649975
purePursuitUSCity,84,51,2.148389171,57.98,0.828587972,31.6227766,15.0753996
purePursuitUSCity,85,81,1.104682428,77.28,0.909787278,31.6227766,18.3754047
purePursuitUSCity,86,31,3.894829083,59.85,0.572881398,31.6227766,15.5165131
purePursuitUSCity,87,51,23.31499751,57.56,1.260120159,31.6227766,15.0277936
purePursuitUSCity,88,41,2.644210885,28.54,0.103326352,31.6227766,10.0794936
purePursuitUSCity,89,71,1.929110692,99999,0.912816212,31.6227766,22.306559
purePursuitUSCity,90,81,4.685590289,85.86,1.102936933,31.6227766,19.8221189
purePursuitUSCity,91,41,6.314489057,77.94,1.23837709,31.6227766,18.5450716
purePursuitUSCity,92,42,2.427197389,24.6,0.864912755,31.6227766,9.4644852
purePursuitUSCity,93,21,7.392517523,21.3,1.378505968,31.6227766,8.8440619
purePursuitUSCity,94,11,0.025236335,17.89,0.000295596,31.6227766,8.2283743
purePursuitUSCity,95,61,1.448494588,50.67,1.036115691,31.6227766,13.7657914
purePursuitUSCity,96,91,5.447458199,99999,2.875153075,31.6227766,22.4712884
purePursuitUSCity,97,51,8.501992532,94.79,2.061257917,31.6227766,21.3124581
purePursuitUSCity,98,51,0.978458274,58.44,1.33174388,31.6227766,12.4142998
purePursuitUSCity,99,31,0.246480027,5.12,0.05227617,31.6227766,6.1575512
purePursuitUSCity,100,51,2.26786617,49.79,1.148272444,31.6227766,13.9091841
purePursuitUSCity,101,31,5.394407577,28.59,0.585255777,31.6227766,10.107994
purePursuitUSCity,102,51,4.19321392,60.72,1.12501958,31.6227766,15.4909809
purePursuitUSCity,103,11,0.001596563,6.31,1.12793E-12,31.6227766,6.2208215
purePursuitUSCity,104,21,0.065068246,3.94,0.026167159,31.6227766,5.9652542
purePursuitUSCity,105,51,5.95972882,49.14,1.243904841,31.6227766,13.6148591
purePursuitUSCity,106,72,54.37551403,90.92,1.227573392,31.6227766,20.8149033
purePursuitUSCity,107,42,16.65661835,48.72,2.235678739,31.6227766,13.4980194
purePursuitUSCity,108,61,2.22543947,56.3,0.847342694,31.6227766,14.8679896
purePursuitUSCity,109,41,7.347983348,40.25,2.14663946,31.6227766,12.1189481
purePursuitUSCity,110,51,1.46120306,62.39,1.202837398,31.6227766,15.6908612
purePursuitUSCity,111,91,3.42500294,84.18,0.791509053,31.6227766,19.5755837
purePursuitUSCity,112,71,2.329169882,65.75,0.932346414,31.6227766,16.20326
purePursuitUSCity,113,31,0.4295304,26.81,0.148150559,31.6227766,9.6676777
