testcase,distance
729,411.6351
730,654.8599
731,460.8755
732,524.889
733,404.8457
734,40.9462
735,663.3523
736,681.2873
737,127.2353
738,292.7278
739,500.0238
740,334.852
741,558.7489
742,402.751
743,188.059
744,507.8899
745,330.0278
746,460.3639
747,425.9291
748,314.0048
749,236.2749
750,256.4124
751,297.6684
752,416.8249
753,725.0644
754,236.2749
755,457.3186
756,354.0453
757,222.4601
758,318.251
759,377.2017
760,221.7123
761,151.67
762,424.3509
763,73.2929
764,577.7638
765,409.9351
766,559.4408
767,58.2547
768,505.7507
769,31.9
770,260.0384
771,220.8652
772,243.7544
773,30.3067
774,834.7271
775,232.4887
776,239.1427
777,566.8492
778,287.4905
779,487.5598
780,716.7414
781,661.7035
782,529.1392
783,496.9473
784,360.4311
785,361.9173
786,182.2722
787,546.9207
788,563.5159
789,48.6601
790,162.4284
791,336.0317
792,337.8569
793,9.8083
794,20.8721
795,365.0899
796,121.8459
797,198.4844
798,205.0589
799,519.7434
800,606.5503
801,537.8919
802,10.329
803,407.3289
804,353.8723
805,255.1983
806,221.77
807,732.2419
808,237.9673
809,314.7681
810,457.3186
811,255.2525
812,409.429
813,388.5422
814,371.1655
815,108
816,519.258
817,156.0235
818,277.5519
819,217.2346
820,330.1379
821,274.2332
822,431.9344
823,205.2047
824,272.2576
825,680.6826
826,282.1082
827,344.3898
828,209.3589
829,120.8699
830,485.1911
831,132.0153
832,454.4746
833,173.8741
834,569.5206
835,235.8607
836,386.8145
837,371.1191
838,470.205
839,187.18
840,83.4624
841,142.7945
842,182.42
843,164.148
844,99
845,428.1097
846,350.6367
847,422.7128
848,206.7405
849,101.3045
850,166.6269
851,416.019
852,83.1352
853,678.2742
854,148.8652
855,393.0208
856,108
857,424.0018
858,60.2095
859,523.3408
860,0.04
861,139.059
862,41.17
863,405.1813
864,73.2929
865,599.0209
866,177.33
867,751.163
868,145.4892
869,621.7178
870,201.5414
871,334.5055
872,187.7245
873,187.7245
874,44.1001
875,412.9045
876,411.6187
877,627.7346
878,31.9
879,294.4204
880,442.0701
881,485.921
882,521.4343
883,453.5706
884,205.2047
885,695.4061
886,108
887,315.7195
888,141.7851
889,103.6192
890,44.1001
891,208.6602
892,148.33
893,410.094
894,257.2629
895,223.7374
896,365.7847
897,535.6879
898,256.5846
899,47.0029
900,157.4989
901,611.4035
902,226.3289
903,488.0988
904,346.0487
905,568.8356
906,364.1597
907,324.901
908,243.9524
909,41.17
910,388.9881
911,111.2022
912,302.5643
913,344.7275
914,187.8254
915,424.7462
916,508.912
917,480.3657
918,404.6807
919,275.9249
920,409.1915
921,351.6266
922,356.1326
923,755.1619
924,270.6812
925,116.3201
926,380.3918
927,423.8115
928,136.16
929,465.4284
930,962.4498
931,256.3979
932,420.5131
933,93.3596
934,373.3631
935,451.2889
936,271.935
937,751.1257
938,334.0611
939,621.7194
940,516.7995
941,219.5924
942,205.7979
943,370.3937
944,111.9487
945,488.4471
946,156.0235
947,442.2074
948,179.9482
949,502.968
950,656.0962
951,21.2212
952,120.8699
953,634.4868
954,324.0825
955,378.2972
956,241.0815
957,255.2504
958,571.6625
959,560.5101
960,110.5
961,184.5767
962,501.7721
963,535.4908
964,295.9741
965,402.6218
966,0.041231
967,539.273
968,409.788
969,220.8652
970,451.2672
971,545.9547
972,457.1904
973,109.3023
974,710.8889
975,1358.7877
976,259.8763
977,352.354
978,481.9778
979,610.3723
980,398.8987
981,226.3289
982,205.5423
983,326.2234
984,366.0275
985,400.2193
986,347.3477
987,285.3169
988,549.5987
989,207.0385
990,140.13
991,497.5064
992,669.0166
993,525.5483
994,191.7884
995,319.3595
996,44.4767
997,1.83
998,180.9164
999,202.7584
1000,370.0211
1001,309.3538
1002,187.18
1003,92.8784
1004,587.8394
1005,665.7876
1006,202.8579
1007,660.1425
1008,355.0104
1009,516.9504
1010,332.1214
1011,321.2883
1012,643.7966
1013,275.184
1014,273.9643
1015,299.1423
1016,348.0027
1017,348.0579
1018,618.9893
1019,200.9498
1020,652.1274
1021,299.2671
1022,438.6643
1023,615.3608
1024,143.5052
1025,432.7657
1026,259.8384
1027,309.3836
1028,672.7054
1029,346.3502
1030,281.9249
1031,90
1032,385.3387
1033,571.761
1034,109.26
1035,500.63
1036,449.3254
1037,689.3841
1038,388.5422
1039,483.0587
1040,10.969
1041,448.1247
1042,259.67
1043,292.7348
1044,537.1653
1045,389.6281
1046,599.5873
1047,556.0392
1048,196.3905
1049,220.0068
1050,604.0225
1051,407.4324
1052,300.0045
1053,310.88
1054,432.3401
1055,416.3476
1056,184.7164
1057,45.9393
1058,714.1578
1059,522.7568
1060,325.9219
1061,386.5142
1062,298.6915
1063,745.8087
1064,297.2609
1065,367.3282
1066,274.2801
1067,392.6754
1068,41.17
1069,248.2618
1070,296.951
1071,220.43
1072,311.6596
1073,40.33
1074,654.389
1075,259.6101
1076,330.0547
1077,256.3146
1078,94.96
1079,110.5
1080,522.0807
1081,148.33
1082,447.8182
1083,313.956
1084,313.0604
1085,296.637
1086,463.7126
1087,323.6111
1088,155.1893
1089,361.9556
1090,522.7116
1091,342.5526
1092,222.4853
1093,26.1308
1094,208.5032
1095,150.3722
1096,370.0556
1097,321.4749
1098,473.7788
1099,650.3218
1100,602.2221
1101,248.9902
1102,410.2788
1103,125.6807
1104,540.8519
1105,72
1106,247.0351
1107,162.2027
1108,350.1888
1109,412.5433
1110,428.4583
1111,488.1639
1112,168.5124
1113,156.007
1114,279
1115,521.4567
1116,291.3783
1117,515.338
1118,519.5789
1119,396.059
1120,564.506
1121,330.3047
1122,388.1152
1123,368.4785
1124,328.2291
1125,285.3169
1126,44.4767
1127,204.4197
1128,841.2113
1129,432.9557
1130,576.0957
1131,569.7611
1132,158.8735
1133,415.1565
1134,298.6664
1135,597.8219
1136,297.2198
1137,274.5353
1138,537.5102
1139,426.0249
1140,142.1963
1141,220.5971
1142,2.4801
1143,505.9802
1144,317.6056
1145,251.8795
1146,307.5797
1147,870.5863
1148,370.0211
1149,149.6323
1150,259.8384
1151,131.9672
1152,12.8251
1153,341.6095
1154,15.1618
1155,60.2095
1156,683.3063
1157,537.1034
1158,135.2262
1159,365.6383
1160,496.0018
1161,141.0061
1162,198.6691
1163,398.3815
1164,198.6691
1165,282.1082
1166,20.0667
1167,422.6232
1168,72
1169,162
1170,458.6639
1171,307.6676
1172,111.8151
1173,126.32
1174,598.3267
1175,426.0458
1176,51.998
1177,370.554
1178,277.7784
1179,417.1146
1180,405.4964
1181,264.4229
1182,471.0986
1183,1678.0615
1184,198.408
1185,255.9303
1186,83.1352
1187,141.1185
1188,427.3123
1189,256.5846
1190,334.2588
1191,331.2247
1192,344.8889
1193,334.0611
1194,520.9997
1195,372.3897
1196,513.9429
1197,331.9736
1198,317.992
1199,404.1851
1200,304.6173
1201,355.857
1202,514.6294
1203,331.9831
1204,62.1674
1205,341.8183
1206,311.6276
1207,41.029
1208,434.0742
1209,220.0068
1210,539.141
1211,306.8892
1212,461.0715
1213,419.3585
1214,545.2353
1215,187.7245
1216,82.3047
1217,259.7605
1218,529.1111
1219,307.2554
1220,182.2328
1221,283.04
1222,259.67
1223,351.6447
1224,179.3744
1225,202.0162
1226,416.8109
1227,183.2025
1228,319.7054
1229,214.5112
1230,481.799
1231,668.3638
1232,94.96
1233,223.5594
1234,464.2221
1235,470.9715
1236,111.9487
1237,566.6847
1238,200.7121
1239,31.8411
1240,134.4729
1241,0.04
1242,399.1693
1243,418.3259
1244,487.6981
1245,124.3126
1246,395.637
1247,354.889
1248,306.7366
1249,126.32
1250,136.3481
1251,251.8406
1252,369
1253,219.8761
1254,381.1313
1255,424.3188
1256,439.9171
1257,551.6733
1258,221.5915
1259,318.4973
1260,350.3462
1261,436.9482
1262,670.0009
1263,337.3074
1264,96.7527
1265,495.2017
1266,439.0961
1267,386.7204
1268,335.0884
1269,462.2307
1270,129.55
1271,310.016
1272,422.7232
1273,44.1001
1274,603.3481
1275,314.0027
1276,519.2411
1277,258.854
1278,349.9515
1279,108.9123
1280,891.8376
1281,255.1983
1282,379.256
1283,142.4887
1284,385.8515
1285,411.8529
1286,207.0514
1287,256.8253
1288,336.5686
1289,232.3573
1290,259.8384
1291,21.2212
1292,92.26
1293,349.2778
1294,529.7851
1295,99.7049
1296,266.3083
1297,303.7202
1298,343.0164
1299,509.989
1300,423.5224
